Age,StudyTimeWeekly,Absences,GPA,TotalActivities
17,19.833722807854716,7,2.929195591667681,1
18,15.40875605584674,0,3.042914833436377,0
15,4.21056976881226,26,0.1126022544661815,0
17,10.028829473958217,14,2.0542181397029484,1
17,4.6724952729713305,17,1.2880611817953875,0
18,8.191218545250186,0,3.0841836144863937,1
15,15.601680474699297,10,2.748237414891583,1
15,15.424496305808074,22,1.360142712316461,1
17,4.562007558047703,1,2.896819189513569,2
16,18.4444663630972,0,3.5734742103297656,1
17,11.851363655296536,11,2.1471716250185144,0
17,7.59848581924029,15,1.5595945190402771,1
17,10.038711615617212,21,1.520077814874808,1
17,12.101425068754876,21,1.7515809583340785,1
18,11.197810636915708,9,2.396788117124796,0
15,9.728100710723565,17,1.3415207165346672,1
18,10.098656081788002,14,2.232175277715976,2
18,3.5282382085577235,16,1.3844041756940335,0
18,16.25465808609359,29,0.4695533233798704,2
17,10.835206398820308,9,2.3957840945307,1
16,2.621597234094062,2,2.778411299920653,1
15,15.32314203165556,25,0.3468940367050148,1
16,18.648879567547016,29,0.3125462305253549,0
18,18.94613798473924,20,1.7701318767799732,1
18,7.380354648223455,15,1.5051556220362858,0
16,2.7103374712150807,5,2.977851918315743,1
16,10.367992532661304,2,2.948717671911921,1
16,2.2521845869844137,8,2.145204720467192,1
18,18.679748370252344,10,2.854803928981318,1
18,3.67159254710292,20,1.519441725815139,1
15,5.055317199023282,12,1.727120309522409,1
15,8.132730537699409,17,1.8475354711387904,1
18,7.663289371182516,25,0.3846169728564877,1
16,15.89325784795778,21,0.94940609779728,2
16,9.126336411019247,27,1.1409594184203395,2
15,3.415365200066738,23,0.2614722600507521,0
18,5.344197909721482,26,0.2182848568210317,0
15,10.18226770375044,21,1.0677635510419796,1
15,2.949078348522698,3,3.0189058584279675,2
17,12.233113512920282,21,1.5268678317927231,2
17,11.314946131022918,23,1.0582873996898603,0
17,14.294046327645152,7,2.625128097732231,0
16,18.754092307587356,12,2.8087548220286536,0
18,18.245091222023117,9,2.888891669272444,1
18,18.921512361376628,1,4.0,2
18,4.894311940474019,7,2.515300272256249,1
18,2.6313061327870924,5,2.5637654300150947,1
17,6.04553400992897,15,1.7036118032323682,0
16,17.90170345532629,17,2.0998851567205854,1
16,19.441069492469765,16,2.4610469629080955,1
17,17.18649902140952,5,2.935477191694632,0
16,2.200354422550872,12,1.9863780592187463,2
17,18.948559961195865,22,1.5715441913992825,1
18,8.46716054701572,13,1.6643106896610833,1
17,0.1862058152470735,29,0.7562591665741925,2
18,8.847874814963872,25,0.8027695392342074,1
18,0.9213833935093518,20,1.3423871779577343,2
15,10.87755842322235,29,0.2865712882866222,1
17,6.771080548741026,9,2.61383869367367,1
15,9.468698671880976,23,0.9290125546259368,1
17,12.26340721486234,10,1.892758695926592,2
17,17.376021916356407,12,2.331261549308754,1
15,13.238031529438572,11,2.234238472600233,1
15,8.680977369563614,8,2.3858282190764624,1
17,16.388557073407302,3,3.347356743507809,0
16,18.111642751462643,6,3.2618553073332905,1
18,2.3951993286439444,23,1.0396238791477144,1
15,10.638659551055827,28,0.0278186247324679,1
18,5.690239194848883,21,1.3299645378768772,1
16,0.941223957538948,1,3.283916521897384,1
16,13.370933902279706,6,2.937454182316864,1
16,17.255415549184512,28,0.7388682028052602,2
15,3.258053089547881,8,2.556801662833417,2
16,16.24827315247801,4,3.300928568970799,0
15,17.067914670738833,14,2.200682946560561,2
16,18.28680885332967,17,1.8558655731681932,1
18,5.305701781721048,3,2.734401494419992,0
18,18.079061303797783,18,2.1317372971872284,2
17,6.413255094728645,19,0.9797699107752862,0
18,11.046760269110056,25,0.994325023551287,1
17,1.0101494166456426,6,2.0746999767813343,1
18,0.8776217673748721,25,0.500508035804656,0
15,14.407464254644058,7,2.532438417587673,2
18,8.88959955955582,16,1.4633780357856976,1
17,5.125847507384352,12,2.342836773191855,2
17,3.808269920498204,23,1.1588463344506037,0
16,13.399069817184362,20,1.5237487447337323,3
15,0.0080308805067974,27,0.0,1
18,16.117823383937086,22,1.0586220144439875,2
16,1.5849921225985764,10,2.2297401841747666,2
18,3.829792298162389,26,0.1947432807455151,1
18,7.724727905981792,0,3.5069200713692137,2
16,9.697174794322072,1,3.552286943350944,0
16,7.099902316278836,16,2.23849135429023,1
16,6.414243299685878,4,2.7084723438568763,2
16,19.278320241463767,29,0.7329082339013866,1
16,12.831593624867883,29,0.9654824453045304,1
18,0.4686591073477641,5,2.5552328599380942,1
16,8.603518168886264,25,0.7443222999212357,3
15,17.500173994879404,24,0.7220565813951911,0
17,6.029123728213359,23,1.2712295298373406,3
16,1.8911268954877647,6,2.52614214142023,3
16,15.167695431798355,27,0.9424153953595232,2
18,12.120276638721624,20,1.515639098395023,1
16,11.406250156530078,29,0.6482739267081915,1
16,1.0715311921481585,14,2.0488500821388604,3
16,2.8099801959103465,18,0.8422959992571388,2
18,12.450987924262275,15,1.4641879236906472,1
16,4.156476829176716,24,1.487946865169799,2
17,10.081401594968488,12,2.587565796370635,0
18,10.89763372058787,4,3.2208069781948727,0
17,5.670143805418788,2,3.5451594318003106,1
18,18.968503110829857,2,3.0895989530746477,0
16,16.8492821367115,18,1.919956439918208,2
17,14.44747015265597,13,2.198593184586961,0
18,1.5598773281881817,15,0.8782126167627767,1
15,2.122600386180389,21,1.340368647512407,2
16,9.855626917299114,16,1.8195113357139088,0
18,3.214266983819713,26,0.6193509314675341,1
15,19.56530927058948,3,3.619460869693516,3
18,3.170404680548189,12,2.17490279620988,2
15,9.74935670927948,7,2.974406014911044,2
16,7.282421136830108,18,0.9807358437488028,0
17,12.78772842908196,4,3.101673809015105,0
15,2.5807281777884983,1,3.4982573417733205,2
18,8.606328560847817,14,2.590553445052984,1
16,5.494100656142873,1,3.5350037581843186,1
15,17.75503049343376,10,2.8199217452931866,1
18,0.8117142426939017,12,2.0165967745176614,2
18,18.274549880129182,22,1.3711850388917164,0
18,16.65988277106001,9,2.1047955879699045,0
15,5.951414328816309,2,3.030439088696523,0
15,15.785813093542094,4,3.58242187231196,1
15,0.6242712067749512,2,2.4265467060392454,1
17,19.33731100586787,5,3.161436270258364,1
15,10.531898851795788,12,2.122638529628868,1
15,6.065620521308905,9,2.204860580997317,1
15,7.251664251893541,18,1.182987500498048,3
17,1.3281070692099473,7,2.7387957163436,1
15,19.786990280840783,17,2.2379013009826028,0
18,0.7858389030138491,2,3.139481546380388,1
15,13.09814246295718,23,1.0460447710800969,2
18,8.854718554129166,23,0.8164582452137992,0
18,18.978324363774306,16,2.03354462052118,2
18,4.919994806135904,7,2.432078522782237,2
17,10.641736478760226,9,2.6597713195279016,1
17,9.64712417165506,1,3.588887939765012,2
17,14.057328881002029,11,2.3145876278110027,1
15,1.3602046390484102,22,1.00722582021403,3
18,3.875782600467097,5,2.8816123214605245,1
17,4.291296401856997,1,2.804504928911685,2
17,14.763015096833794,20,1.7629211240998668,1
15,3.7827739265348015,22,1.11991126295732,2
17,11.469835277819534,23,1.0306575057198797,0
15,4.304876410019074,2,3.0756193536614336,1
16,17.232499001679567,16,2.631434065124418,2
17,18.84370908979277,28,0.5030669073279145,3
16,10.369859498844807,6,2.784237837142815,0
15,7.046177684183565,28,0.2476267650865634,0
18,4.681155500349982,20,1.189548769618786,1
17,0.9956200304608752,4,3.3759940088028397,2
15,5.370001523949908,22,1.293573556445951,0
18,13.084715598906358,0,3.7185869042869646,2
18,10.672338626184215,7,2.670559614819829,1
16,18.880825565618547,11,2.369648013449619,1
15,7.925545249834012,13,1.6244868202221543,1
18,13.87726684656789,15,2.5374768278143587,2
17,9.786454949502428,9,2.298417928509479,1
17,10.251524318484233,14,2.2598041504961186,1
16,5.35548629208235,20,1.3213433008698847,1
18,9.099015536839994,23,0.9499742281238568,1
15,9.415699940254145,25,0.818786616073051,2
17,14.132850434978678,14,2.3392245127535936,0
18,18.81279998372228,9,2.6827762879633723,1
18,6.586425549650086,20,1.543837471085622,1
16,0.8440093716259689,27,0.1969011048236224,1
17,9.925902510012794,6,2.748610257448085,0
17,10.889226642983372,25,1.1048937876999445,2
15,3.368811022638305,2,2.553439811443938,1
17,15.209292125521332,1,3.2742334588098787,2
15,19.698582168829837,5,3.1860603780389143,0
17,18.915494340169214,20,1.722115750240589,1
16,3.942120776473044,8,2.3380463575903736,2
17,17.507264798015214,9,3.273998748434336,2
15,14.089872728233694,3,2.993502391205279,0
15,9.076931276138232,26,0.8963978990233954,1
