make_year,mileage_kmpl,engine_cc,price_usd,brand_BMW,brand_Chevrolet,brand_Ford,brand_Honda,brand_Hyundai,brand_Kia,brand_Nissan,brand_Tesla,brand_Toyota,brand_Volkswagen,transmission_Automatic,transmission_Manual,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol
2001,8.17,4000,8587.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2014,17.59,1500,5943.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2023,18.09,2500,9273.58,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2009,11.28,800,6836.24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2005,12.23,1000,4625.79,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2002,13.77,2500,6856.03,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2023,12.5,1000,6806.77,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,17.46,2000,7701.84,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2001,14.99,5000,8730.52,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2020,19.59,4000,10812.16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2013,21.25,1800,10070.16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2017,20.91,5000,9638.93,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2005,15.95,2500,5543.9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2005,19.42,800,5855.47,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2018,23.18,3000,9773.77,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2015,20.23,4000,9468.89,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1998,27.29,1800,6491.29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2002,22.91,2000,6202.99,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2018,26.59,3000,9921.66,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1997,5.54,1500,1223.8,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2016,18.48,1000,5591.11,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2015,16.38,5000,13054.69,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1996,17.38,3000,5209.92,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,13.98,1000,4916.24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2006,19.98,1800,5906.84,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2000,8.96,2000,2626.29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1996,20.02,1800,5167.78,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2022,14.14,2000,7992.87,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,15.5,2000,4481.1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1995,20.19,1200,5047.31,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2006,18.39,1200,7529.89,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2020,23.27,4000,11362.28,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2016,13.15,1200,8934.87,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2023,17.6,1200,9565.19,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2006,22.44,1000,3616.11,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2019,19.81,2500,11251.36,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2011,20.13,5000,10860.67,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2021,23.54,5000,12256.44,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2021,15.97,1500,6901.08,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2004,14.92,800,1858.64,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2022,20.88,2000,6916.32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2022,17.25,1800,8983.39,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2010,23.61,1000,6654.31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2009,19.85,2000,6340.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2009,14.88,800,3263.63,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2013,19.69,1200,6564.08,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2006,13.49,1500,4548.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2017,22.73,1200,7396.53,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2014,11.01,2000,6603.26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2019,24.11,1500,10558.87,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1997,19.6,800,3727.01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1999,17.18,1800,7775.41,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2013,21.82,1800,9200.45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2001,20.56,4000,10397.17,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2015,24.65,3000,8650.95,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2003,24.61,3000,9899.66,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2001,19.76,1800,4395.65,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2012,13.64,3000,8282.81,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1998,15.29,5000,8083.56,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2019,17.64,2500,8216.22,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2022,23.41,800,6903.49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2008,15.72,2500,5304.48,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2012,16.14,3000,6862.02,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2020,27.24,1200,11413.96,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2003,17.48,4000,8191.43,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2020,14.83,3000,8248.22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2015,21.88,1000,8819.21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1996,17.72,2000,7194.95,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2014,11.05,1500,5150.71,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2022,23.2,1200,8327.32,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2009,14.26,2000,6737.61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2022,18.22,5000,12125.07,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2001,17.66,4000,8567.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2006,19.15,1000,5113.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2023,7.04,5000,12985.97,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2002,16.32,5000,9291.24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2009,23.62,5000,10490.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1997,24.33,1800,6128.32,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2008,13.04,2000,5764.27,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2011,22.6,1500,6549.19,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1998,14.19,2500,4597.91,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2012,16.13,1000,5888.31,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2002,16.39,2500,5042.59,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1998,18.54,1000,2193.27,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1996,23.01,800,4351.08,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2000,19.32,1800,4234.82,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2016,17.37,1000,10738.88,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2004,22.84,3000,8821.93,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1998,13.99,3000,7058.39,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2016,17.61,800,5974.08,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2023,22.98,1500,8841.47,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2012,20.65,4000,11386.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020,15.67,1800,6962.45,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2006,10.44,5000,9338.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1996,19.55,2000,5190.94,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2004,10.11,1200,3953.91,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1998,16.94,1800,3280.74,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2008,23.89,800,6286.89,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2010,20.98,3000,10376.58,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2009,7.88,2000,5115.91,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2002,19.0,1000,4968.68,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2008,16.4,1500,8391.33,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2017,11.63,1500,6147.01,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2022,19.68,4000,10939.12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2019,15.54,4000,7848.84,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2002,15.57,1800,5345.06,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2015,18.62,1200,7472.53,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2010,14.87,800,2462.72,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2007,18.48,2000,4981.61,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2012,15.03,3000,7840.34,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2009,15.31,800,5641.82,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2015,22.96,800,8842.66,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2018,23.47,2500,9419.87,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2020,9.46,2500,7652.52,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2019,21.74,1000,5677.46,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2022,24.99,1200,8662.69,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2022,25.79,1000,7897.75,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2022,20.6,2000,9866.21,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2007,12.71,3000,8823.31,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2003,21.15,3000,7364.01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2023,13.65,800,8546.18,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2009,16.29,4000,7599.75,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2007,19.92,3000,9493.81,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1995,13.98,4000,8360.51,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2019,12.27,4000,7168.89,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2001,20.33,2000,4666.03,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2003,27.34,1200,5336.48,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2018,24.22,800,7016.61,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1995,21.54,3000,6545.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2006,22.9,5000,9050.98,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2002,21.19,1200,7622.55,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2018,20.25,2500,7340.05,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2005,22.49,5000,9640.03,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2013,11.16,2000,7490.07,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2011,19.0,1200,3833.56,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2002,17.6,2000,4314.29,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1997,18.39,1200,2513.59,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1997,15.69,4000,9336.12,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1995,20.6,800,1488.02,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021,13.91,3000,9960.68,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1999,15.33,1800,6778.35,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2004,14.73,1500,5112.66,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2001,22.32,800,4655.34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2020,17.94,4000,8012.16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2003,15.7,4000,9876.22,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2022,16.13,1800,8344.84,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2001,18.02,4000,9313.76,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2003,26.11,5000,9329.93,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2002,11.82,4000,9081.22,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2006,21.38,2500,7248.65,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1996,20.36,3000,6873.04,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1995,13.59,800,3508.18,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2010,25.33,1500,6516.66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2017,20.7,5000,15872.61,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2017,15.46,5000,15287.96,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2018,8.7,1500,6477.7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1999,19.15,4000,9058.47,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1997,17.78,1200,7185.76,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2006,12.85,5000,9244.95,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2002,12.78,5000,9491.03,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2016,22.34,800,5779.98,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2021,8.22,1800,4914.53,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1997,19.57,2500,4723.77,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1995,17.06,1500,5099.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1997,20.49,4000,8792.4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1999,16.53,2000,4195.33,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2009,19.47,2000,7042.82,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2008,14.29,1200,3499.95,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1997,17.75,5000,10036.61,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1995,20.45,5000,6562.53,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1999,18.75,1800,4586.94,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2020,19.9,5000,11867.57,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2017,13.36,2000,5109.32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2008,15.05,1500,4237.77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2001,15.13,1200,6621.91,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
